Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Road Maps as Free Geometric Priors: Weather-Invariant Drone Geo-Localization with GeoFuse,2026,"7–11 (2023) 9. Devlin, J., Chang, M.W., Lee, K., Toutanova, K.: Bert: Pre-training of deep bidirectional transformers for language understanding. In: Proceedings of the 2019 conference of the North American chapter of the association for computational linguistics: human language technologies, volume 1 (long and short papers).",supporting,The citation passage agrees with the target paper's claims by stating that BERT is a deep bidirectional transformer for language understanding.
MERVIN: A Unified Framework for Multimodal Event Retrieval in Vietnamese News Videos,2026,"In: ICCV (2021) 2. Devlin, J., Chang, M.W., Lee, K., Toutanova, K.: Bert: Pre-training of deep bidirectional transformers for language understanding. In: Proceedings of NAACL-HLT (2019) 3.",supporting,"The citation passage states that the target paper, BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding, is cited in ICCV (2021) and NAACL-HLT (2019). This indicates that the citing text agrees with or supports the claims made by the target paper."
From Layers to Networks: Comparing Neural Representations via Diffusion Geometry,2026,"5–30. [7] Chang Xu, Dacheng Tao, and Chao Xu. A survey on multi-view learning. 2013.",supporting,"The citation passage is a review of the ""BERT"" paper, which is about pre-training deep bidirectional transformers for language understanding. Therefore, it supports the claims made in the ""BERT"" paper by providing a comprehensive overview of multi-view learning."
From Layers to Networks: Comparing Neural Representations via Diffusion Geometry,2026,2018. [43] Jacob Devlin et al. “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding”.,supporting,The citation passage agrees with the target paper's claim that BERT is a deep bidirectional transformer model for language understanding.
From Layers to Networks: Comparing Neural Representations via Diffusion Geometry,2026,[43] Jacob Devlin et al. “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding”. In: Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies.,supporting,The citation passage agrees with the target paper's claim that BERT is a deep bidirectional transformer model for language understanding.
Beyond Content: Integrating Generated User Intent and Planned Behavior Theory for Reliable Fake News Detection,2026,"We first encode each user’s historical posts ( ℎ𝑖𝑠 ), social traits ( 𝑠𝑜𝑐 ), profile attributes ( 𝑝𝑟𝑜 ), and the corresponding news content ( 𝑑 ) using a pretrained BERT encoder [6].",supporting,The citation passage agrees with the target paper's claim of using a pretrained BERT encoder for language understanding.
Beyond Content: Integrating Generated User Intent and Planned Behavior Theory for Reliable Fake News Detection,2026,"In contrast, content-only models such as BERT and ChatGPT-n suffer substantial accuracy and F1 drops, particularly on Politifact, indicating their vulnerability to stylistic perturbations.",contrasting,"The citation passage states that the content-only models such as BERT and ChatGPT-n suffer substantial accuracy and F1 drops, particularly on Politifact, indicating their vulnerability to stylistic perturbations. This indicates a contrast between the target paper's approach (BERT) and the content-only models' performance in handling stylistic perturbations."
Beyond Content: Integrating Generated User Intent and Planned Behavior Theory for Reliable Fake News Detection,2026,[6] and RoBERTa [16]: Large pre-trained language models with basic settings.,supporting,The citation passage agrees with the target paper's claim that BERT is a large pre-trained language model.
Advancing sustainable development goals through multilingual text summarization: A transformer-based approach,2026,"This line of work evolved into large-scale multilingual pre-training with transformer-based architectures such as (Devlin et al., 2019) and XLM (Lample & Conneau, 2019), and XLM-R (Conneau et al., 2020), which demonstrated strong cross-lingual transfer capabilities across a wide range of NLP tasks.",supporting,"The citation passage agrees with the target paper's claims by mentioning that large-scale multilingual pre-training with transformer-based architectures such as BERT (Devlin et al., 2019) and XLM (Lample & Conneau, 2019), and XLM-R (Conneau et al., 2020), demonstrated strong cross-lingual transfer capabilities across a wide range of NLP tasks."
Enabling Client-Autonomous Training Optimizations for Efficient Federated Learning,2026,"While we so far primarily focus on computer vision models, which are typical in FL, recent years have also witnessed the wide adoption of diverse Transformer-based large language models (LLMs) [8], [14], [42].",extending,"The citation passage is extending the work of BERT by highlighting its use in computer vision, which is a new domain."
Enabling Client-Autonomous Training Optimizations for Efficient Federated Learning,2026,"To assess the applicability of our method to Transformer-based neural networks, we evaluate three models: BERT-Tiny [14] (an encoder-only model) on 20News dataset [26] (a 20-class text classiﬁcation task), Pythia-14m [8] (a decoder-only model) on WikiText dataset [38], and T5-Small [42] (an…",supporting,"The citation passage agrees with the target paper's claims by mentioning BERT-Tiny, Pythia-14m, and T5-Small as models that have been evaluated on specific datasets. This indicates that the citing text supports the findings of the target paper."
PLM$^{3}$RC: A PLM-Based Method for Multilingual Relation Classification Without Using Parallel Corpora,2026,"Toaddressthislimitation,twopre-trainedlanguagemodelswith agreatamountofparametershavebeendeveloped:theencoder-decoderstructureofTransformer[26]andthesingle-encoder structureofBERT[31].",supporting,"The citation passage agrees with the target paper's claim that two pre-trained language models have been developed, specifically mentioning the Transformer model and BERT as examples."
PLM$^{3}$RC: A PLM-Based Method for Multilingual Relation Classification Without Using Parallel Corpora,2026,The remaining hyperparameters are determined based on the reference [31].,supporting,"The citation passage states that the remaining hyperparameters are determined based on a reference paper, which is ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" (the target paper). Therefore, the citation relationship is supporting."
PLM$^{3}$RC: A PLM-Based Method for Multilingual Relation Classification Without Using Parallel Corpora,2026,"The functionality of the encoder can be realized through various multilingual PLMs, including mBERT [31], XLM-R [52], XLM-Align [53], and ERNIE-M [54].",extending,"The citation passage extends the functionality of the encoder by mentioning other multilingual PLMs like mBERT, XLM-R, XLM-Align, and ERNIE-M."
PLM$^{3}$RC: A PLM-Based Method for Multilingual Relation Classification Without Using Parallel Corpora,2026,"Subsequently, we employed these models along with mBERT-base [31] as encoders for PLM 3 RC, testing them under both single dataset (S) and multilingual (M) ﬁne-tuning conditions.",extending,The citation passage is extending the work of BERT by using it as an encoder for PLM 3 RC.
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"2023; Maulik et al. 2021), for flow field applications(Lee & Carlberg 2020; Maulik et al. 2021).",supporting,"The citation passage supports the claim made in the target paper by citing another work that uses similar techniques for flow field applications, which is a direct extension of BERT."
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"2021). Lee and Carlberg (2020) proposed a nonlinear manifold reduced-order modelling method using deep convolutional autoencoders, while Maulik et al. developed a reduced-order model for convection dominated systems by combining recurrent neural networks with convolutional autoencoders.",contrasting,The citation passage contrasts the target paper's approach to Lee and Carlberg (2020) and Maulik et al.'s method for reduced-order modeling of convection-dominated systems.
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"2025). As a milestone pretrained language model, BERT (Devlin et al. 2019) employs a bidirectional Transformer architecture that captures contextual information from both left and right during word processing.",supporting,"The citation passage agrees with the target paper's claim about BERT being a pretrained language model. It also mentions its use of a bidirectional Transformer architecture, which is consistent with the target paper's description."
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"Computers & Mathematics with Applications, 52(89), 1373-1386. https://doi.org/10.1016/j.camwa.2006.11.012 Devlin, J., Chang, M. W., Lee, K., & Toutanova, K.",supporting,The citation passage supports the claim made in the target paper by citing a related work that builds upon and adapts the BERT model for language understanding.
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"https://doi.org/10.1016/j.camwa.2006.11.012 Devlin, J., Chang, M. W., Lee, K., & Toutanova, K. (2019, June).",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" and supports the claim that BERT is a deep bidirectional transformer model for language understanding."
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"(2019, June). Bert: Pre-training of deep bidirectional transformers for language understanding. In Proceedings of the 2019 conference of the North American chapter of the association for computational linguistics: human language technologies, volume 1 (long and short papers) (pp.",supporting,"The citation passage states that BERT is a pre-training model for deep bidirectional transformers for language understanding. Therefore, the citing text agrees with the target paper's claims and confirms its findings."
FlowBERT: Prompt-tuned Bidirectional Encoder Representations from Transformers for Variable Flow Field Prediction,2026,"Physics of Fluids, 34(11). https://pubs.aip.org/aip/pof/article/34/11/113601/28 45118 Wu, P., Sun, J., Chang, X., Zhang, W., Arcucci, R., Guo, Y., & Pain, C. C.",supporting,The citation passage supports the claim made in the target paper by citing a related work that builds upon and extends the BERT model for language understanding.
Noise-Filtering Enhanced Graph Transformer for Robust Fake News Detection,2026,"…content-based methods include CSI [68], utilizing LSTM networks for sequential tweet features; Bert-MLP and Spacy-MLP , employing pretrained BERT [56] (768-dimensional) and spaCy [69] (300-dimensional) embeddings, respectively; and UniPF [70], leveraging semantic clustering for fake news…",extending,The citation passage is extending the work of BERT by using its pretrained embeddings (BERT-MLP and Spacy-MLP) in content-based methods.
Noise-Filtering Enhanced Graph Transformer for Robust Fake News Detection,2026,"Each node v j is associated with a feature vector x j [8], typically obtained by encoding the text of the original post or the user’s comment via a pretrained language model (e.g., BERT [56]).",supporting,The citation passage supports the claim made in the target paper by providing an example of how to encode text using a pretrained language model.
Detecting Obstetric Violence Tweets from Mexico: Annotation Guidelines and Classification with LLMs,2026,"Therefore, for the descriptive and exploratory analysis of the OV corpus, we considered the BERTopic neural approach, which uses embeddings of the text using BERT (Bidirectional Encoder Representations from Transformers) [18].",extending,The citation is extending the work of the target paper by using the same dataset and methodology.
Workload-Adapted Resource Allocation for LLM Distributed Serving in Serverless Clusters,2026,"Models: We selected ﬁve widely used large models, including the LLAMA [1], BERT [3], GPT [2], Whisper [72] and Wide-Resnet [73], detail shown in Table I.",supporting,The citation passage is supporting the target paper by listing five widely used large models that are similar to BERT.
Robust and Extensible Multi-Branch Semantic Communication in LAWNs: Deployment-Efficient Design With SDR-Based Validation,2026,"Additionally, encoder-only models represented by BERT have frequently served as effective semantic encoders in a multitude of applications [21], [22], [23].",supporting,The citation passage agrees with the target paper's claim that BERT has been used effectively as an encoder in various applications.
COCO+: A Behavior-Aware Cause Identification Framework for Order Cancellation in Logistics Service,2026,"Different from previous work [20] that leverages the hidden state extracted from the [CLS] token to represent global semantics, we extract embeddings from individual tokens e si,j , capturing more granular, task-speciﬁc features.",extending,The citation passage is extending the work of BERT by using individual tokens instead of the [CLS] token to represent global semantics.
