Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Exploiting anchor-free and graph reasoning framework for dense tea bud detection and picking point identification,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Dataset and model for advancing robust material recognition in construction environments,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Worldwide benchmarking of cost-effective radiometers for direct and diffuse irradiance,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
A lightweight multimodal fusion network for fault diagnosis of power systems with high-power pulsed loads,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Efficient spectral-temporal reconstruction of long-term satellite time series via temporal segments and mask-informed embedding,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Advancing hybrid quantum neural network for alternating current optimal power flow,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Residual-channel attention physics-informed neural network for surrogate modeling of a sodium-ion battery single-particle model,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Self-supervised scene structure learning for ego vision under curvilinear motion: A novel approach for autonomous railway catenary monitoring,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
High-precision vapor fraction classification in dual-evaporator loop heat pipes using CNN and neutron radiography,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Zero-shot industrial defect detection in flexible manufacturing via general-expert prompt fusion and spatial interaction,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
"Advancing site-specific disease and pest management in precision agriculture: From reasoning-driven foundation models to adaptive, feedback-based learning",2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
A development of prediction method for pedestrian head injury criterion using deep learning and vehicle drawing,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
DSCL-ReID: Person re-identification with dynamic prompts and contrastive learning,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
S2G-Net: an asymmetric cross-modal network for tiny cotton terminal-bud detection and sparse depth completion in real fields,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Robust Transformer framework with Bayesian-Inspired stochastic attention for underwater cable fault detection,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
