Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Toward a Theory of Identity Performance in Unsettled Digital Work: The Becoming of ‘Digital Nomads’,2023,"Hassan et al. (2022), drawing from Weick (1995), refer to these more modest claims as “ products of theorising.",supporting,"The citation passage agrees with the target paper's concept of ""products of theorizing"" by referencing it and drawing from Weick (1995), indicating a supportive relationship."
Toward a Theory of Identity Performance in Unsettled Digital Work: The Becoming of ‘Digital Nomads’,2023,"The lines of identity performance are not yet a full-ﬂ edged theory; they are tentative and contextual ‘ products of theorising ’ (Hassan et al., 2022) that explain the performances of digital nomad identity as an important intermediary step towards a process-relational theory of digital worker…",extending,"The citing text builds upon the target paper's concept of ""products of theorising"" and applies it to a new context (digital nomad identity), demonstrating an extension of the original idea."
Toward a Theory of Identity Performance in Unsettled Digital Work: The Becoming of ‘Digital Nomads’,2023,"As what we see as an intermediate step towards a new theory of digital worker identity, this paper explicates the concept of identity performance via lines for the case of digital nomads, in line with the aim of this special issue, as a ‘ product of theorising ’ (Hassan et al., 2022; Weick, 1995).",methodological,"The citing text uses the target paper's concept of identity performance and its application to digital nomads as a methodology or framework for understanding digital worker identity, without expressing agreement, disagreement, or building upon the target paper's claims."
Toward a Theory of Identity Performance in Unsettled Digital Work: The Becoming of ‘Digital Nomads’,2023,"As theorists, we tend to draw boxes around certain sets of processes and categorise them as our theoretical building blocks (Hassan et al., 2022).",extending,"The citing text builds upon the target paper's idea of ""drawing boxes around certain sets of processes"" and categorizing them as theoretical building blocks, applying this concept to a specific context (theorizing)."
Identifying the idiosyncrasies of behavioral information security discourse and proposing future research directions: A Foucauldian perspective,2023,"These interim struggles include activities such as abstracting, generalizing, explaining, and synthesizing (Weick, 1995) that produce approximations to theories at different levels (Hassan et al., 2022).",extending,"The citation passage builds upon the target paper's concept of ""Useful Products in Information Systems Theorizing"" by applying it to a specific context (interim struggles) and using its ideas (abstracting, generalizing, explaining, synthesizing) to produce approximations to theories at different levels."
Identifying the idiosyncrasies of behavioral information security discourse and proposing future research directions: A Foucauldian perspective,2023,"An analogy is “ a rational argument using a simpli ﬁ ed, scaled-down reference to something familiar to explain or illustrate something more complex or less familiar ” (Hassan et al., 2022: 422).",methodological,"The citation passage uses the target paper's concept of analogy as a reference to explain or illustrate something more complex, demonstrating a direct application of the target paper's framework."
Identifying the idiosyncrasies of behavioral information security discourse and proposing future research directions: A Foucauldian perspective,2023,"These approximations, also referred to as “ products of the theorizing processes ” (Weick, 1995: 385), constitute the foundations for future theorization, on which “ original, interesting, and in ﬂ uential theories ” (Hassan et al., 2022: 3) could be developed.",extending,"The citation passage builds upon the target paper's concept of ""products of theorizing processes"" and applies it to a new context, discussing how these products can serve as foundations for future theorization."
The importance of theory at the Information Systems Journal,2023,"…articles following this approach should provide the building blocks of theoretical understanding, such as novel concepts, measurement of concepts, relationships, propositional logic, taxonomies, typologies, metaphors or novel and provocative questions for future research (Hassan et al., 2022).",methodological,"The citation passage is using the target paper's framework to provide guidelines on what constitutes useful products in information systems theorizing, thereby demonstrating a direct methodological application of the target paper."
The importance of theory at the Information Systems Journal,2023,"We recognise that there are different types of theory (Gregor, 2006), different forms of theorising (Cornelissen et al., 2021; Sandberg & Alvesson, 2021) and different objects of theorising (Hassan et al., 2022; Rivard, 2014).",methodological,"The citation passage uses the target paper's concept of ""theorizing"" as a framework to discuss different forms and objects of theorizing, without explicitly agreeing or disagreeing with the paper's claims."
The aestheticization of business processes: Visualizing their Gestalt for collective thinking,2023,"By focusing on the products of theorizing (Hassan et al., 2022) and how they enable us to unpack complex socio-technical phenomena discursively (Hassan et al., 2019), this article introduces a novel view of business process as a community of practice that can think artistically about what they are…",extending,"The citing text builds upon the ideas presented in Hassan et al.'s papers (2022 and 2019) by introducing a novel view of business process as a community of practice, applying their concepts to a new domain."
